#1;Ludinghausen 1m Lufttemp 2017
#2;Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
# Zeit [s];T[K]
double default(8761,2);
4917600;279.35
4921200;279.35
4924800;279.35
4928400;279.35
4932000;279.35
4935600;279.35
4939200;279.35
4942800;279.35
4946400;279.35
4950000;279.35
4953600;279.35
4957200;279.35
4960800;279.35
4964400;279.35
4968000;279.35
4971600;279.35
4975200;279.35
4978800;279.35
4982400;279.35
4986000;279.35
4989600;279.35
4993200;279.35
4996800;279.35
5000400;279.35
5004000;279.35
5007600;279.35
5011200;279.35
5014800;279.35
5018400;279.35
5022000;279.45
5025600;279.45
5029200;279.45
5032800;279.45
5036400;279.45
5040000;279.45
5043600;279.45
5047200;279.45
5050800;279.45
5054400;279.45
5058000;279.45
5061600;279.45
5065200;279.45
5068800;279.45
5072400;279.45
5076000;279.45
5079600;279.45
5083200;279.45
5086800;279.45
5090400;279.55
5094000;279.55
5097600;279.55
5101200;279.55
5104800;279.55
5108400;279.55
5112000;279.55
5115600;279.55
5119200;279.55
5122800;279.55
5126400;279.55
5130000;279.55
5133600;279.55
5137200;279.55
5140800;279.55
5144400;279.55
5148000;279.55
5151600;279.55
5155200;279.55
5158800;279.55
5162400;279.55
5166000;279.55
5169600;279.55
5173200;279.55
5176800;279.55
5180400;279.55
5184000;279.55
5187600;279.55
5191200;279.55
5194800;279.55
5198400;279.55
5202000;279.55
5205600;279.55
5209200;279.55
5212800;279.55
5216400;279.55
5220000;279.55
5223600;279.55
5227200;279.55
5230800;279.55
5234400;279.55
5238000;279.55
5241600;279.55
5245200;279.55
5248800;279.55
5252400;279.55
5256000;279.55
5259600;279.55
5263200;279.55
5266800;279.55
5270400;279.55
5274000;279.55
5277600;279.55
5281200;279.55
5284800;279.55
5288400;279.55
5292000;279.55
5295600;279.65
5299200;279.55
5302800;279.55
5306400;279.65
5310000;279.65
5313600;279.65
5317200;279.65
5320800;279.65
5324400;279.65
5328000;279.65
5331600;279.65
5335200;279.65
5338800;279.65
5342400;279.65
5346000;279.65
5349600;279.65
5353200;279.55
5356800;279.55
5360400;279.55
5364000;279.55
5367600;279.55
5371200;279.55
5374800;279.55
5378400;279.55
5382000;279.55
5385600;279.55
5389200;279.55
5392800;279.55
5396400;279.55
5400000;279.55
5403600;279.55
5407200;279.55
5410800;279.55
5414400;279.55
5418000;279.55
5421600;279.55
5425200;279.55
5428800;279.55
5432400;279.55
5436000;279.55
5439600;279.55
5443200;279.55
5446800;279.55
5450400;279.55
5454000;279.55
5457600;279.55
5461200;279.55
5464800;279.55
5468400;279.55
5472000;279.55
5475600;279.65
5479200;279.65
5482800;279.65
5486400;279.65
5490000;279.65
5493600;279.65
5497200;279.65
5500800;279.65
5504400;279.65
5508000;279.65
5511600;279.65
5515200;279.65
5518800;279.65
5522400;279.65
5526000;279.65
5529600;279.65
5533200;279.65
5536800;279.65
5540400;279.65
5544000;279.65
5547600;279.75
5551200;279.75
5554800;279.75
5558400;279.75
5562000;279.75
5565600;279.75
5569200;279.75
5572800;279.75
5576400;279.75
5580000;279.75
5583600;279.75
5587200;279.75
5590800;279.75
5594400;279.75
5598000;279.75
5601600;279.75
5605200;279.75
5608800;279.75
5612400;279.75
5616000;279.85
5619600;279.85
5623200;279.85
5626800;279.85
5630400;279.85
5634000;279.85
5637600;279.85
5641200;279.85
5644800;279.85
5648400;279.85
5652000;279.85
5655600;279.85
5659200;279.85
5662800;279.85
5666400;279.85
5670000;279.85
5673600;279.85
5677200;279.85
5680800;279.85
5684400;279.85
5688000;279.85
5691600;279.85
5695200;279.85
5698800;279.85
5702400;279.85
5706000;279.85
5709600;279.85
5713200;279.85
5716800;279.95
5720400;279.95
5724000;279.95
5727600;279.95
5731200;279.95
5734800;279.95
5738400;279.95
5742000;279.95
5745600;279.95
5749200;279.95
5752800;279.95
5756400;279.95
5760000;279.95
5763600;279.95
5767200;279.95
5770800;279.95
5774400;279.95
5778000;279.95
5781600;279.95
